OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000870,Sample-Routine,Water,Surface Water,1990-01-10,15:30:00,CST,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),USGS - Illinois Water Science Center,USGS-05536995,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.99000630,Not determined,Water,Groundwater,1990-01-09,08:30:00,EST,,,,,,,,,,,,,USGS-405523078224701,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000775,Sample-Routine,Water,Surface Water,1990-01-03,11:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03612000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000775,Sample-Routine,Water,Surface Water,1990-01-03,11:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03612000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000701,Sample-Routine,Water,Surface Water,1990-01-09,11:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03339000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000701,Sample-Routine,Water,Surface Water,1990-01-09,11:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03339000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.99000282,Sample-Routine,Water,Groundwater,1990-01-03,09:40:00,EST,,,,,,Below land-surface datum,40,feet,45,feet,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-383907075124103,BALANCES W/NUTRIENTS ADDED,Columbia Group,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001163,Sample-Routine,Water,Surface Water,1990-01-09,11:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05595700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001163,Sample-Routine,Water,Surface Water,1990-01-09,11:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05595700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.99000629,Not determined,Water,Groundwater,1990-01-09,11:20:00,EST,,,,,,,,,,,,,USGS-405520078225302,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001022,Sample-Routine,Water,Surface Water,1990-01-09,11:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05574500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001022,Sample-Routine,Water,Surface Water,1990-01-09,11:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05574500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000795,Sample-Routine,Water,Surface Water,1990-01-10,14:45:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05469000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000795,Sample-Routine,Water,Surface Water,1990-01-10,14:45:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05469000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99000197,Sample-Routine,Water,Surface Water,1990-01-10,13:32:00,PST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12499000,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Accepted,,Actual,,,,,,,01049,,,,,,GF078,USGS,"Lead, LIS, GFAAS","USGS TWRI 5-A1/1989, p 249",,,,Historical Lower Reporting Limit,0.5,ug/l,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99000197,Sample-Routine,Water,Surface Water,1990-01-10,13:32:00,PST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12499000,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Suspended,11,mg/kg,,Accepted,,Actual,Dry,,,,,,29836,,,,,,,,,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000940,Sample-Routine,Water,Surface Water,1990-01-09,13:45:00,CST,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),USGS - Illinois Water Science Center,USGS-05552500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000940,Sample-Routine,Water,Surface Water,1990-01-09,13:45:00,CST,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),USGS - Illinois Water Science Center,USGS-05552500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001114,Sample-Routine,Water,Surface Water,1990-01-08,12:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05591200,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001114,Sample-Routine,Water,Surface Water,1990-01-08,12:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05591200,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-PR,USGS Puerto Rico Water Science Center,nwispr.01.99000196,Sample-Routine,Water,Groundwater,1990-01-10,11:45:00,AST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-182734066280900,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.99000257,Sample-Routine,Water,Groundwater,1990-01-04,13:00:00,EST,,,,,,Below land-surface datum,690,feet,714,feet,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-385834076172001,,Magothy Formation,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-PR,USGS Puerto Rico Water Science Center,nwispr.01.99000195,Sample-Routine,Water,Surface Water,1990-01-09,09:30:00,AST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-50144000,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Accepted,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.99000182,Sample-Routine,Water,Surface Water,1990-01-03,10:50:00,PST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11477000,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Lower Quantitation Limit,10,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001069,Sample-Routine,Water,Surface Water,1990-01-09,09:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05585000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001069,Sample-Routine,Water,Surface Water,1990-01-09,09:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05585000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000715,Sample-Routine,Water,Surface Water,1990-01-03,12:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03342050,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000715,Sample-Routine,Water,Surface Water,1990-01-03,12:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03342050,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.99000042,Sample-Routine,Water,Surface Water,1990-01-03,14:30:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-04059000,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-NY,USGS New York Water Science Center,nwisny.01.99003297,Sample-Routine,Water,Wet Fall Material,1990-01-02,16:40:00,EST,1990-02-02,08:50:59,EST,,,,,,,,,"Monroe County Health Department, New York",USGS-430114077350101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-ND,USGS North Dakota Water Science Center,nwisnd.01.99000313,Sample-Routine,Water,Surface Water,1990-01-08,16:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-06470000,,,"Stable, low stage",Under ice cover,USGS,USGS,USGS,Unknown,,Lead,Dissolved,10,ug/l,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,nwisar.01.99000739,Sample-Routine,Water,Surface Water,1990-01-10,10:15:00,CST,,,,25,feet,,,,,,,"USGS-District Water-Quality Lab, Little Rock, Arkansas",USGS-07049690,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.99000134,Sample-Routine,Water,Surface Water,1990-01-08,11:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07373420,,,Rising stage,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,O,USGS,,,,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.99000134,Sample-Routine,Water,Surface Water,1990-01-08,11:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07373420,,,Rising stage,Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,O,USGS,,,,,,Lower Quantitation Limit,1.,ug/l,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.99000389,Sample-Routine,Water,Surface Water,1990-01-10,09:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01545600,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-FL,USGS Florida Water Science Center,nwisfl.01.99019886,Sample-Routine,Water,Surface Water,1990-01-10,09:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02273000,BTLS OK;RR'S CORRECT,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.99000139,Sample-Routine,Water,Surface Water,1990-01-09,10:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07374220,,,Rising stage,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,O,USGS,,,,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.99000139,Sample-Routine,Water,Surface Water,1990-01-09,10:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07374220,,,Rising stage,Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,O,USGS,,,,,,Lower Quantitation Limit,1.,ug/l,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.99000104,Sample-Routine,Water,Surface Water,1990-01-08,13:15:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-381631094000100,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,30,ug/l,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.99000149,Sample-Routine,Water,Surface Water,1990-01-10,13:20:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-384140090435001,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Dissolved,10,ug/l,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.99000814,Sample-Routine,Water,Surface Water,1990-01-09,11:30:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12324200,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.99000814,Sample-Routine,Water,Surface Water,1990-01-09,11:30:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12324200,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Recoverable,7.0,ug/l,,Historical,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.99000179,Not determined,Water,Surface Water,1990-01-09,09:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-05490600,NH4-D & NH4-T RR;VALUES SAME,,Not determined,Not Determined (historical),USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001158,Sample-Routine,Water,Surface Water,1990-01-04,10:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05595400,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001158,Sample-Routine,Water,Surface Water,1990-01-04,10:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05595400,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-CT,USGS Connecticut Water Science Center,nwisma.01.99000279,Sample-Routine,Water,Surface Water,1990-01-10,15:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01209710,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.99000125,Sample-Routine,Water,Surface Water,1990-01-09,16:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-384028090430301,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000890,Sample-Routine,Water,Surface Water,1990-01-09,10:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05540210,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000890,Sample-Routine,Water,Surface Water,1990-01-09,10:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05540210,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-AR,USGS Arkansas Water Science Center,nwisar.01.99000752,Sample-Routine,Water,Surface Water,1990-01-10,14:10:00,CST,,,,43,feet,,,,,,,"USGS-District Water-Quality Lab, Little Rock, Arkansas",USGS-07049200,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001111,Sample-Routine,Water,Surface Water,1990-01-10,11:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05590420,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001111,Sample-Routine,Water,Surface Water,1990-01-10,11:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05590420,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001049,Sample-Routine,Water,Surface Water,1990-01-10,14:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05579500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001049,Sample-Routine,Water,Surface Water,1990-01-10,14:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05579500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000855,Sample-Routine,Water,Surface Water,1990-01-05,10:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05536000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000855,Sample-Routine,Water,Surface Water,1990-01-05,10:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05536000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-OK,USGS Oklahoma Water Science Center,nwisok.01.99000298,Sample-Routine,Water,Surface Water,1990-01-05,14:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07157950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,GF089,USGS,"Lead, wf, GF-AAS","USGS OF 93-125, p 87",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
